year,Afr_012,Ant_001,Ant_006,Ant_007,Ant_008,Ant_010,Ant_028,Arc_002,Arc_004,Arc_007,Arc_011,Arc_020,Arc_022,Arc_027,Arc_033,Arc_034,Arc_035,Arc_059,Arc_061,Arc_062,Arc_063,Arc_064,Arc_065,Arc_066,Arc_068,Arc_071,Arc_073,Arc_074,Arc_076,Arc_077,Arc_078,Arc_079,Asi_018,Asi_019,Asi_020,Asi_021,Asi_022,Asi_024,Asi_026,Asi_036,Asi_040,Asi_057,Asi_069,Asi_076,Asi_078,Asi_099,Asi_108,Asi_110,Asi_112,Asi_113,Asi_117,Asi_119,Asi_126,Asi_133,Asi_140,Asi_143,Asi_146,Asi_147,Asi_153,Asi_155,Asi_156,Asi_157,Asi_161,Asi_164,Asi_168,Asi_171,Asi_193,Asi_195,Asi_196,Asi_199,Asi_202,Asi_214,Asi_218,Asi_220,Asi_221,Asi_223,Asi_225,Asi_229,Asi_230,Asi_240,Asi_243,Aus_001,Aus_002,Aus_004,Aus_005,Aus_007,Aus_009,Aus_030,Eur_003,Eur_006,Eur_007,Eur_008,Eur_009,Eur_011,Eur_013,Eur_014,Eur_016,Eur_017,Eur_020,NAm_001,NAm_008,NAm_013,NAm_019,NAm_046,NAm_059,NAm_070,NAm_071,NAm_072,NAm_082,NAm_083,NAm_084,NAm_087,NAm_088,NAm_089,NAm_097,NAm_098,NAm_099,NAm_104,NAm_108,NAm_110,NAm_111,NAm_115,NAm_118,NAm_119,NAm_121,NAm_122,NAm_123,NAm_124,NAm_125,NAm_126,NAm_129,NAm_130,NAm_134,NAm_137,NAm_139,NAm_141,NAm_144,NAm_157,NAm_165,NAm_169,NAm_172,NAm_174,NAm_175,NAm_179,NAm_183,NAm_184,NAm_185,NAm_186,NAm_187,NAm_194,NAm_195,NAm_196,NAm_197,NAm_199,NAm_200,NAm_202,Ocn_009,Ocn_011,Ocn_061,Ocn_065,Ocn_066,Ocn_070,Ocn_071,Ocn_072,Ocn_073,Ocn_074,Ocn_075,Ocn_076,Ocn_078,Ocn_079,Ocn_080,Ocn_081,Ocn_082,Ocn_083,Ocn_084,Ocn_086,Ocn_087,Ocn_088,Ocn_090,Ocn_091,Ocn_093,Ocn_095,Ocn_096,Ocn_097,Ocn_098,Ocn_099,Ocn_101,Ocn_103,Ocn_104,Ocn_106,Ocn_107,Ocn_109,Ocn_111,Ocn_114,Ocn_118,Ocn_119,Ocn_120,Ocn_122,Ocn_123,Ocn_125,Ocn_127,Ocn_128,Ocn_129,Ocn_130,Ocn_139,Ocn_140,Ocn_141,Ocn_147,Ocn_148,Ocn_153,Ocn_154,Ocn_155,Ocn_156,Ocn_157,Ocn_158,Ocn_159,Ocn_160,Ocn_161,Ocn_162,Ocn_163,Ocn_164,Ocn_166,Ocn_167,Ocn_175,Ocn_177,Ocn_178,Ocn_179,Ocn_180,Ocn_181,Ocn_182,Ocn_183,SAm_003,SAm_025,SAm_026,SAm_029,SAm_030
1,,,,-34.6015,,-151.05,-272.33000000000004,399.0,0.035050000000000005,,,0.7864981600000001,0.256,,-27.97,,-27.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.813,,,,,,,0.34800000000000003,-0.488,,,,,,,,-0.44,,1.077,,,1.127,,,,0.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.403
2,,,,-34.787,,-147.2,-275.694,693.0,0.031540000000000006,,,1.54347074,0.253,,-27.97,,-28.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.518,,,,,,,0.704,-1.813,,,,,,,,,,0.8290000000000001,,,1.132,,,,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2884
3,,,,-33.8485,,-142.95,-269.1375,727.0,0.060770000000000005,,,1.39605299,0.226,,-28.0,,-27.76,-27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.924,,,,,,,1.335,-2.399,,,,,,,,,,1.026,,,0.989,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1739
4,,,,-35.015,,-138.7,-277.433,1148.0,0.03252,,,2.23155505,0.32,,-28.0,,-27.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.54,15.684,,,,,,,1.692,-1.526,,,,,,,,,,0.917,,,1.037,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0638
5,,,,-34.977,,-146.6,-275.321,606.0,0.036890000000000006,,,0.81602148,0.353,,-28.0,,-28.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.083,,,,,,,1.05,-0.593,,,,,,,,,,0.8170000000000001,,,0.886,,,,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9629
6,,,,-33.9525,,-154.5,-267.8225,75.0,0.02868,,,1.33371692,0.23800000000000002,,-28.0,,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.377,,,,,,,1.549,-0.151,,,,,,,,0.12,,1.052,,,1.152,,,,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8756
7,,,,-34.582,,-153.5,-273.43,620.0,0.02144,,,0.924079,0.23800000000000002,,-28.0,,-29.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.518,,,,,,,1.02,0.5690000000000001,,,,,,,,,,1.164,,,1.108,,,,0.9420000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7974
8,,,,-35.638,,-152.5,-281.3795,597.0,0.019360000000000002,,,2.0905712,0.244,,-28.52,,-27.96,-27.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23,,,,,,,-0.508,0.539,,,,,,,,-0.30000000000000004,,1.197,,,1.065,,,,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.723700000000001
9,,,,-33.2585,,-151.45,-262.059,657.0,0.013250000000000001,,,1.7073046,0.244,,-29.3,,-27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.976,,,,,,,-0.589,-0.037,,,,,,,,,,0.982,,,0.9560000000000001,,,,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6501
10,,,,-32.316500000000005,,-150.4,-255.33800000000002,478.0,0.03245,,,1.09126314,0.20600000000000002,,-29.3,,-26.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.976,,,,,,,-1.709,-0.23,,,,,,,,,,1.076,,,0.871,,,,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5764
11,,,,-32.976,,-152.75,-260.158,747.0,0.08282,,,0.78324802,0.218,,-29.3,,-27.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.453,,,,,,,-0.833,-0.429,,,,,,,,,,0.972,,,0.869,,,,1.1260000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5028
12,,,,-31.921999999999997,,-155.1,-251.13450000000003,722.0,0.01608,,,1.56650046,0.23500000000000001,,-29.3,,-28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.749,,,,,,,0.042,0.544,,,,,,,,,,0.782,,,0.986,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4382
13,,,,-34.5025,,-154.55,-273.46999999999997,1001.0,0.0152,,,1.861815,0.41200000000000003,,-29.3,,-30.55,-26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.046,,,,,,,-0.009000000000000001,-0.022,,,,,,,,,,1.098,,,0.9,,,,1.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3917
14,,,,-33.2735,,-154.0,-263.11,816.0,0.03259,,,0.98964716,0.303,,-29.27,,-28.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.03,16.191,,,,,,,-0.47700000000000004,0.003,,,,,,,,,,0.9380000000000001,,,0.986,,,,0.9520000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3724
15,,,,-31.217000000000002,,-151.6,-247.632,194.0,0.02561,,,0.81291722,0.388,,-29.21,,-26.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.415,,,,,,,0.531,0.048,,,,,,,,-0.31,,0.876,,,1.0,,,,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3712
