,lat,lon,elev,ptype
Afr_012,-24.0,29.18,1450.0,speleothem.d18O
Ant_001,-72.8,159.06,2316.0,ice.dD
Ant_006,-79.46,247.91,1806.0,ice.d18O
Ant_007,-79.46,247.91,1806.0,ice.d18O
Ant_008,-79.3838,248.76,1791.0,ice.d18O
Ant_010,-64.2017,302.315,1542.0,ice.dD
Ant_028,-79.46,247.91,1806.0,ice.dD
Arc_002,72.0,101.0,250.0,tree.TRW
Arc_004,81.35,290.47,106.0,lake.accumulation
Arc_007,61.03,213.41,230.0,tree.TRW
Arc_011,72.1,321.92,3200.0,ice.d18O
Arc_020,82.83,282.1,1.5,lake.varve_thickness
Arc_022,64.6,340.2,422.0,lake.varve_thickness
Arc_027,73.94,322.37,3040.0,ice.d18O
Arc_033,80.7,286.9,1700.0,ice.d18O
Arc_034,71.12,322.68,3172.0,ice.d18O
Arc_035,65.18,316.17,2480.0,ice.d18O
Arc_059,71.27,333.27,2350.0,ice.d18O
Arc_061,66.9,65.6,250.0,tree.TRW
Arc_062,68.26,19.6,320.0,tree.MXD
Arc_063,63.2475,13.3375,650.0,tree.MXD
Arc_064,80.52,94.82,750.0,ice.d18O
Arc_065,66.3,18.2,800.0,tree.MXD
Arc_066,65.9,16.1,500.0,tree.MXD
Arc_068,65.2,15.5,550.0,tree.MXD
Arc_071,68.49166667,27.33333333,265.0,tree.MXD
Arc_073,68.625,226.13,5.0,tree.TRW
Arc_074,68.73,15.73,200.0,tree.MXD
Arc_076,62.917,290.117,14.0,lake.varve_thickness
Arc_077,66.6,17.6,520.0,tree.MXD
Arc_078,80.783,65.63,509.0,ice.d18O
Arc_079,66.8,68.0,30.0,tree.TRW
Asi_018,50.15,85.37,1750.0,tree.TRW
Asi_019,50.15,85.37,1750.0,tree.TRW
Asi_020,50.15,85.37,1750.0,tree.TRW
Asi_021,50.15,85.37,1750.0,tree.TRW
Asi_022,50.15,85.37,1750.0,tree.TRW
Asi_024,50.15,85.37,1750.0,tree.TRW
Asi_026,27.67,90.73,2100.0,tree.TRW
Asi_036,27.45,90.15,2150.0,tree.TRW
Asi_040,29.28,100.08,2150.0,tree.TRW
Asi_057,34.78,100.82,200.0,tree.TRW
Asi_069,34.63,104.47,2900.0,tree.TRW
Asi_076,27.62,99.8,2900.0,tree.TRW
Asi_078,35.07,100.35,2600.0,tree.TRW
Asi_099,32.67,95.72,4500.0,tree.TRW
Asi_108,43.77,142.55,3730.0,tree.TRW
Asi_110,43.88,145.6,3920.0,tree.TRW
Asi_112,44.35,142.18,3700.0,tree.TRW
Asi_113,43.22,145.47,3780.0,tree.TRW
Asi_117,30.37,130.53,4060.0,tree.TRW
Asi_119,30.33,130.45,3700.0,tree.TRW
Asi_126,40.2,72.58,4100.0,tree.TRW
Asi_133,55.0,160.5,1350.0,tree.TRW
Asi_140,46.32,101.32,300.0,tree.TRW
Asi_143,47.1,90.97,1100.0,tree.TRW
Asi_146,49.37,94.88,2800.0,tree.TRW
Asi_147,49.92,91.57,2800.0,tree.TRW
Asi_153,48.83,111.68,1700.0,tree.TRW
Asi_155,48.3,98.93,2500.0,tree.TRW
Asi_156,49.38,94.88,4200.0,tree.TRW
Asi_157,47.27,100.03,4100.0,tree.TRW
Asi_161,48.25,97.4,3010.0,tree.TRW
Asi_164,46.52,100.95,3600.0,tree.TRW
Asi_168,27.7,86.45,3700.0,tree.TRW
Asi_171,27.73,86.33,3600.0,tree.TRW
Asi_193,35.9,71.73,3000.0,tree.TRW
Asi_195,36.33,74.03,3500.0,tree.TRW
Asi_196,36.33,74.03,3330.0,tree.TRW
Asi_199,35.4,74.12,2880.0,tree.TRW
Asi_202,36.58,75.08,1500.0,tree.TRW
Asi_214,35.35,71.8,3900.0,tree.TRW
Asi_218,31.12,97.03,2500.0,tree.TRW
Asi_220,29.3,91.97,3900.0,tree.TRW
Asi_221,31.12,97.03,3150.0,tree.TRW
Asi_223,29.62,94.67,2300.0,tree.TRW
Asi_225,29.35,92.0,2900.0,tree.TRW
Asi_229,12.22,108.73,3900.0,tree.TRW
Asi_230,29.0,113.0,3000.0,documents
Asi_240,43.955,145.725,2400.0,hybrid
Asi_243,33.9167,89.0833,6070.0,ice.d18O
Aus_001,-41.83,145.53,900.0,tree.TRW
Aus_002,-43.23,170.28,110.0,tree.TRW
Aus_004,-41.31,147.75,750.0,tree.TRW
Aus_005,-43.0,171.0,640.0,tree.TRW
Aus_007,-42.27,145.87,900.0,tree.TRW
Aus_009,-41.67,145.65,550.0,tree.TRW
Aus_030,-47.0,167.8,450.0,tree.TRW
Eur_003,68.0,25.0,300.0,tree.MXD
Eur_006,47.0,10.7,2050.0,tree.TRW
Eur_007,46.4,7.8,1700.0,tree.MXD
Eur_008,44.0,7.5,2100.0,tree.TRW
Eur_009,42.5,1.0,1200.0,tree.TRW
Eur_011,49.0,13.0,0.0,documents
Eur_013,62.0,28.325,130.0,tree.MXD
Eur_014,46.5,9.8,1791.0,lake.chironomid
Eur_016,46.15,7.5,1830.0,lake.midge
Eur_017,42.9,356.5,1250.0,speleothem.d18O
Eur_020,59.4,24.75,10.0,documents
NAm_001,35.3,248.6,3535.0,tree.TRW
NAm_008,36.3,241.6,3261.0,tree.TRW
NAm_013,37.8,240.8,3300.0,tree.TRW
NAm_019,36.4,241.8,3519.0,tree.TRW
NAm_046,46.0,246.6,2700.0,tree.TRW
NAm_059,47.3,238.7,1530.0,tree.TRW
