"Year","RP1"
1,-0.435747133329571
2,-0.396028414774141
3,-0.310948838335385
4,-0.296251334081304
5,-0.270235452085369
6,-0.149201688068436
7,-0.122452860680412
8,-0.250250470981149
9,-0.352368046252397
10,-0.374586402182936
11,-0.371972582795676
12,-0.348139644311281
13,-0.265175150861984
14,-0.335204406485508
15,-0.365675672716566
16,-0.332318219570979
17,-0.285032765304448
18,-0.262104926940559
19,-0.290606660707671
20,-0.347405178774841
21,-0.33946588077058
22,-0.314402298193352
23,-0.305912321876744
24,-0.348036281872228
25,-0.278591527659203
26,-0.257527991768952
27,-0.247294729825619
28,-0.276854995904656
29,-0.357393909747866
30,-0.291796346752199
31,-0.33898819579332
32,-0.290701482602003
33,-0.290075716692299
34,-0.248302960647333
35,-0.265204518562852
36,-0.340471967198333
37,-0.247287836163308
38,-0.253174513576651
39,-0.271568933919737
40,-0.364156263925425
41,-0.263933781098917
42,-0.24884548386519
43,-0.242444841035057
44,-0.293867293809479
45,-0.284122676281517
46,-0.297400671832581
47,-0.309313138104198
48,-0.411250256635653
49,-0.392255122702647
50,-0.390958860049033
51,-0.426500509326131
52,-0.440805042730158
53,-0.409282011514617
54,-0.356328607553721
55,-0.36398943469709
56,-0.386681030475015
57,-0.448710593903917
58,-0.390692579531156
59,-0.435394890213042
60,-0.346965250842422
61,-0.212430690493437
62,-0.384736058459196
63,-0.286848710640202
64,-0.269320636441415
65,-0.333908070634789
66,-0.327797581434547
67,-0.332001222087476
68,-0.312893171811545
69,-0.352304854765231
70,-0.363424701904746
71,-0.352872382194273
72,-0.298658821061269
73,-0.354448087190851
74,-0.412022575936038
75,-0.372672130983317
76,-0.374582990981771
77,-0.386570972258788
78,-0.430736578485269
79,-0.363015836861321
80,-0.435352464537987
81,-0.417518633528382
82,-0.4387932681872
83,-0.40599708405015
84,-0.463097621093098
85,-0.437806376578793
86,-0.41131607766974
87,-0.379813983842816
88,-0.249612612124159
89,-0.316492736485025
90,-0.382095156662393
91,-0.335203076215913
92,-0.25569206389604
93,-0.314271273278169
94,-0.403536225105171
95,-0.384057394239965
96,-0.33437169676127
97,-0.440809787786973
98,-0.350405581295297
99,-0.216565113660349
100,-0.284015258758755
101,-0.302087585628843
102,-0.303923031413409
103,-0.276744487043403
104,-0.331124875006905
105,-0.292181897370947
106,-0.334810351365638
107,-0.331170288359808
108,-0.329617498520003
109,-0.47718898939619
110,-0.389079564908962
111,-0.365111189773257
112,-0.454374409657254
113,-0.423466576031784
114,-0.328199654630149
115,-0.349487794856162
116,-0.367803117316515
117,-0.36826439247274
118,-0.367698483086589
119,-0.433119486232366
120,-0.403813117616371
121,-0.391853037378236
122,-0.435059616556509
123,-0.496029167232933
124,-0.434569043101886
125,-0.402310286413008
126,-0.471820786351159
127,-0.39862248033237
128,-0.481300174112277
129,-0.458679203927151
130,-0.498884388715626
131,-0.365356811537652
132,-0.395736389057481
133,-0.476125922072888
134,-0.443396331732848
135,-0.399996562329339
136,-0.297156004018591
137,-0.280589389512493
138,-0.281337712372791
139,-0.288283965218925
140,-0.327189450399558
141,-0.351416471534247
142,-0.398351804046383
143,-0.339944233381896
144,-0.395264510950569
145,-0.35132320500569
146,-0.434379879387955
147,-0.381533351128422
148,-0.402696246267959
149,-0.315205132586761
150,-0.409695587610652
151,-0.414053981463219
152,-0.414671074838252
153,-0.359008688393912
154,-0.318267343371477
155,-0.316473948317894
156,-0.335095925699652
157,-0.427165947033017
158,-0.407586354802692
159,-0.397520059187232
160,-0.300528676098421
161,-0.325896591719607
162,-0.398926996091162
163,-0.414138940210061
164,-0.380518853585355
165,-0.414312555666956
166,-0.37909229345556
167,-0.328497189076111
168,-0.431647926067362
169,-0.413984284365368
170,-0.371465016050336
171,-0.421359425297261
172,-0.391978278005554
173,-0.349206278616767
174,-0.427277126571882
175,-0.44493477750576
176,-0.392278229942939
177,-0.411986418811942
178,-0.442716051198291
179,-0.467972890353671
180,-0.434847886697825
181,-0.429438385849714
182,-0.425959981283077
183,-0.431991043323283
184,-0.425422747082158
185,-0.400550002613508
186,-0.380118213226525
187,-0.398590971886254
188,-0.371718482457875
189,-0.376349986824723
190,-0.342661194828616
191,-0.309878695955498
192,-0.393116353124105
193,-0.406535635009793
194,-0.360043166111381
195,-0.42305004599012
196,-0.286239500196222
197,-0.2245747957145
198,-0.317834999220151
199,-0.36687736712577
200,-0.425307445262189
201,-0.450961948643728
202,-0.402981888676137
203,-0.478445018950014
204,-0.404048496718428
205,-0.409729702371414
206,-0.374161689431051
207,-0.350572473980846
208,-0.39243262356134
209,-0.262900162291623
210,-0.288564512779487
211,-0.372144111066379
212,-0.3315792621986
213,-0.318268154617955
214,-0.358210792111445
215,-0.387481620776872
216,-0.340718078980885
217,-0.32653997290133
218,-0.363927756787009
219,-0.325992920514689
220,-0.359980732844232
221,-0.422624537142587
222,-0.325864842107932
223,-0.306300301708044
224,-0.24618302252496
225,-0.257196282976599
226,-0.303905498874575
227,-0.311618194832198
228,-0.347106597927199
229,-0.253338480650135
230,-0.300448615406847
231,-0.283778535808602
232,-0.257505203314981
233,-0.30198001313842
234,-0.321623422300604
235,-0.239202984610697
236,-0.32893573789628
237,-0.332543284029184
238,-0.301020811328347
239,-0.149049556510824
240,-0.208234641544924
241,-0.320339546974791
242,-0.270277973656097
243,-0.32680227364594
244,-0.276120791246218
245,-0.27210019160009
246,-0.210880973619719
247,-0.209089722777695
248,-0.237691841760268
249,-0.238354974203837
250,-0.191437889872723
251,-0.366508374731677
252,-0.241812471734957
253,-0.395452127647337
254,-0.445325124723526
255,-0.414498247007495
256,-0.440303689286641
257,-0.404364365227083
258,-0.447894694316412
259,-0.417100712632811
260,-0.486388291406408
261,-0.441866414318135
262,-0.427293679622656
263,-0.451895777211349
264,-0.338068547224164
265,-0.419132601446919
266,-0.379325824599113
267,-0.445540455043454
268,-0.411267565137022
269,-0.380730496370992
270,-0.394024084375342
271,-0.439897267924566
272,-0.409940688429119
273,-0.426321980742769
274,-0.49294278498219
275,-0.442650544894904
276,-0.398632134527892
277,-0.382841402213209
278,-0.332232781697401
279,-0.449520635232321
280,-0.379724043787552
281,-0.366614060687318
282,-0.311713510801738
283,-0.356336328541811
284,-0.384115630279537
285,-0.37490332769871
286,-0.350520349826284
287,-0.411260305423755
288,-0.369456696247458
289,-0.400984422499436
290,-0.521841006558203
291,-0.485763090225089
292,-0.417284153178193
293,-0.495160539354074
294,-0.428018576396441
295,-0.421593982097855
296,-0.399988034318894
297,-0.337093717687367
298,-0.393812249718549
299,-0.405562665065591
300,-0.322627318707372
301,-0.327403434642367
302,-0.315682583947004
303,-0.269078252317111
304,-0.255995969941829
305,-0.318418533802239
306,-0.206445593510796
307,-0.266271261603385
308,-0.33768130369366
309,-0.352324756160123
310,-0.37148455011246
311,-0.347721129193574
312,-0.376056509128628
313,-0.3574110895538
314,-0.335464704008854
315,-0.382281988937341
316,-0.415091949856284
317,-0.345042586033215
318,-0.345259766952016
319,-0.379582005616154
320,-0.400559018228058
321,-0.403852052712059
322,-0.408916931371704
323,-0.385810072863269
324,-0.369201895732793
325,-0.383999858643391
326,-0.411248455221345
327,-0.374518917747465
328,-0.410150327810582
329,-0.421473974827603
330,-0.387971844337199
331,-0.427839085700219
332,-0.397364489113205
333,-0.399531102454076
334,-0.37594575351517
335,-0.443445307796211
336,-0.44119833971045
337,-0.395165738043181
338,-0.463871503387966
339,-0.470799875497845
340,-0.365347224753878
341,-0.300148841159298
342,-0.324121384608889
343,-0.371004570861138
344,-0.376627869471895
345,-0.43092900707345
346,-0.357560275061891
347,-0.411146895146381
348,-0.385918917945763
349,-0.381225500056857
350,-0.439219501961636
351,-0.4080100119667
352,-0.478569409497214
353,-0.455451191443969
354,-0.521378871303429
355,-0.496069022476878
356,-0.467141700874726
357,-0.538745602687364
358,-0.438967620421332
359,-0.470521173506209
360,-0.414883648573129
361,-0.32060049106711
362,-0.355464305891675
363,-0.302549756380647
364,-0.281306928581146
365,-0.355647634435042
366,-0.363991270906905
367,-0.384676627291623
368,-0.423950881875667
369,-0.468198648831093
370,-0.427721822796277
371,-0.423578171277929
372,-0.471595289729349
373,-0.445114812567122
374,-0.525732423676857
375,-0.454143250803973
376,-0.488503675929301
377,-0.383159457389927
378,-0.433833773967592
379,-0.427641706062764
380,-0.411589517723052
381,-0.501101267726303
382,-0.468516261654157
383,-0.400210589297983
384,-0.369996972655729
385,-0.371865012704822
386,-0.374790769771632
387,-0.345068879674314
388,-0.388779041796456
389,-0.411919660590466
390,-0.494865005664253
391,-0.440233655215303
392,-0.465071291979603
393,-0.459896625971621
394,-0.419899181189743
395,-0.385123449055108
396,-0.346285703660687
397,-0.29282037315723
398,-0.31643031916738
399,-0.365890505177443
400,-0.355555629322181
401,-0.337807761003949
402,-0.319013180134045
403,-0.32125962412779
404,-0.387892664202868
405,-0.268500155518796
406,-0.190225725923781
407,-0.219552599490394
408,-0.320492554208825
409,-0.337464747526063
410,-0.304626642880368
411,-0.327338978710185
412,-0.387930068897018
413,-0.346983263870721
414,-0.400819376144425
415,-0.323413095495654
416,-0.351195855463173
417,-0.444051316165462
418,-0.387303111239719
419,-0.3665666478543
420,-0.378925498839417
421,-0.402518375515137
422,-0.42886550628599
423,-0.454566702114418
424,-0.328681869836873
425,-0.355135490258037
426,-0.412511658546864
427,-0.37860472661147
428,-0.420049086646853
429,-0.359500697105381
430,-0.289302294131357
431,-0.384152417833365
432,-0.33810319793165
433,-0.326066844890167
434,-0.325093227311318
435,-0.336466473474072
436,-0.470325950947312
437,-0.416147730786755
438,-0.420769316521874
439,-0.417470459913039
440,-0.388620939904152
441,-0.405631553484544
442,-0.382575272166575
443,-0.356735880081914
444,-0.273079254481355
445,-0.455836045342917
446,-0.451647962998144
447,-0.409703567930427
448,-0.340258222732848
449,-0.406335614590999
450,-0.299131852593849
451,-0.415538164822923
452,-0.362052331791044
453,-0.355431220148286
454,-0.420125619886535
455,-0.414976020868706
456,-0.460444243473369
457,-0.360350626083242
458,-0.32020967374673
459,-0.382252930301956
460,-0.395617289669396
461,-0.35941532632966
462,-0.433848707039383
463,-0.438831108866061
464,-0.491413003129741
465,-0.453723983619426
466,-0.480388301878037
467,-0.545783873605558
468,-0.496822716808519
469,-0.533399484118836
470,-0.527343295984884
471,-0.569901829623327
472,-0.48714836074474
473,-0.404095419428338
474,-0.523257324232537
475,-0.426572197678933
476,-0.415014002487658
477,-0.531776577739068
478,-0.468997412503328
479,-0.432738551216973
480,-0.357461712340494
481,-0.349934872871436
482,-0.34221849205387
483,-0.327395681328179
484,-0.364581609484851
485,-0.306408561004664
486,-0.397063814412219
